"UAAXK0000","UAAXK0000_ORG","UAA","res","x","y"
970,200,970,5000,5160,3510
150,0,150,5000,5165,3510
2050,290,2050,5000,5150,3505
1800,100,1800,5000,5155,3505
170,0,170,5000,5180,3505
200,0,200,5000,5190,3505
1500,190,1500,5000,5150,3500
2050,140,2050,5000,5155,3500
310,0,310,5000,5180,3500
160,0,170,5000,5185,3500
120,0,120,5000,5195,3500
1510,380,1510,5000,5210,3465
1160,130,1170,5000,5215,3465
2310,330,2310,5000,5210,3460
810,170,810,5000,5215,3460
940,300,950,5000,5220,3460
60,0,60,5000,4740,3445
1140,770,1140,5000,4745,3445
2170,1280,2170,5000,4745,3440
2330,270,2330,5000,5110,3435
1180,170,1180,5000,5115,3435
3340,580,3340,5000,5110,3430
2360,190,2360,5000,5115,3430
200,0,200,5000,5260,3240
190,0,190,5000,5280,3205
1390,0,1400,5000,5280,3200
3390,610,3400,5000,5220,3105
1180,260,1180,5000,5225,3105
1000,130,1000,5000,5220,3100
1990,220,2000,5000,5225,3100
1730,0,1730,5000,3715,3040
NA,NA,NA,5000,3370,2940
230,0,230,5000,5475,2880
2070,820,2070,5000,4720,2875
1540,560,1540,5000,4725,2875
2090,1080,2090,5000,4720,2870
720,470,720,5000,4725,2870
NA,NA,NA,5000,5265,2860
1090,410,1090,5000,4680,2845
1370,620,1370,5000,4685,2845
1090,220,1090,5000,4680,2840
1500,310,1500,5000,4685,2840
1460,210,1460,5000,4600,2835
1330,540,1340,5000,4605,2835
1610,410,1610,5000,4610,2835
1220,390,1220,5000,4615,2835
1190,150,1190,5000,4620,2835
890,380,890,5000,4625,2835
1090,370,1090,5000,4640,2835
1630,380,1630,5000,4645,2835
1860,660,1860,5000,4650,2835
1350,710,1350,5000,4655,2835
460,180,460,5000,4670,2835
640,290,640,5000,4675,2835
760,250,760,5000,4680,2835
1330,490,1330,5000,4685,2835
1040,230,1040,5000,4690,2835
880,260,880,5000,4695,2835
930,250,930,5000,4600,2830
1350,440,1350,5000,4605,2830
1590,420,1590,5000,4610,2830
1770,840,1770,5000,4615,2830
1240,660,1240,5000,4620,2830
1200,620,1200,5000,4625,2830
1160,330,1160,5000,4640,2830
1500,330,1500,5000,4645,2830
1120,370,1120,5000,4650,2830
1650,280,1650,5000,4655,2830
790,580,790,5000,4670,2830
610,350,620,5000,4675,2830
900,350,900,5000,4680,2830
1430,280,1430,5000,4685,2830
1070,550,1070,5000,4690,2830
380,120,380,5000,4695,2830
1170,370,1170,5000,4600,2825
1770,630,1770,5000,4605,2825
1340,330,1340,5000,4610,2825
1310,500,1310,5000,4615,2825
1680,840,1680,5000,4620,2825
1330,630,1330,5000,4625,2825
1010,450,1010,5000,4630,2825
1430,720,1430,5000,4635,2825
1480,350,1490,5000,4650,2825
1330,490,1330,5000,4655,2825
870,400,870,5000,4660,2825
790,310,790,5000,4665,2825
890,380,890,5000,4670,2825
790,450,790,5000,4675,2825
2460,1450,2460,5000,4810,2825
2950,930,2950,5000,4815,2825
1060,380,1060,5000,4600,2820
1050,220,1050,5000,4605,2820
1050,250,1050,5000,4610,2820
1360,250,1370,5000,4615,2820
1600,480,1600,5000,4620,2820
1720,350,1720,5000,4625,2820
1470,450,1480,5000,4630,2820
940,490,940,5000,4635,2820
1390,220,1400,5000,4650,2820
